block,count
76.86.118.0/24,1
72.132.72.0/24,1
72.167.102.0/24,1
73.76.20.0/24,1
71.255.247.0/24,1
199.0.78.0/24,1
146.12.158.0/24,1
107.5.155.0/24,1
73.220.148.0/24,1
70.178.10.0/24,1
40.142.188.0/24,1
104.178.227.0/24,1
104.148.89.0/24,1
104.68.234.0/24,1
67.137.204.0/24,1
70.93.62.0/24,1
67.233.86.0/24,1
184.88.221.0/24,1
24.22.55.0/24,1
174.34.40.0/24,1
198.50.194.0/24,1
47.189.202.0/24,1
45.50.140.0/24,1
98.58.103.0/24,1
187.198.197.0/24,1
74.7.45.0/24,1
95.101.155.0/24,1
86.58.70.0/24,1
217.13.124.0/24,1
85.30.162.0/24,1
79.17.95.0/24,1
87.81.120.0/24,1
190.231.14.0/24,1
220.135.109.0/24,1
90.205.253.0/24,1
79.199.74.0/24,1
82.45.32.0/24,1
217.5.64.0/24,1
85.6.205.0/24,1
93.206.190.0/24,1
60.119.228.0/24,1
52.97.211.0/24,1
85.241.247.0/24,1
172.102.93.0/24,1
190.85.251.0/24,1
125.159.125.0/24,1
81.94.19.0/24,1
115.45.91.0/24,1
91.241.106.0/24,1
182.122.92.0/24,1
60.98.112.0/24,1
217.33.148.0/24,1
60.156.248.0/24,1
92.252.39.0/24,1
125.240.249.0/24,1
104.168.201.0/24,1
90.214.169.0/24,1
194.62.58.0/24,1
182.224.17.0/24,1
115.2.199.0/24,1
211.12.226.0/24,1
79.119.223.0/24,1
203.204.146.0/24,1
77.1.2.0/24,1
62.253.169.0/24,1
119.164.113.0/24,1
187.168.107.0/24,1
97.103.75.0/24,1
107.173.204.0/24,1
36.65.32.0/24,1
70.171.107.0/24,1
122.185.74.0/24,1
178.44.164.0/24,1
13.233.96.0/24,1
170.250.218.0/24,1
178.121.156.0/24,1
104.136.48.0/24,1
104.86.90.0/24,1
183.114.104.0/24,1
105.168.163.0/24,1
175.203.108.0/24,1
107.149.188.0/24,1
119.24.157.0/24,1
210.139.49.0/24,1
118.49.48.0/24,1
14.60.62.0/24,1
179.39.227.0/24,1
172.246.51.0/24,1
123.213.107.0/24,1
85.3.73.0/24,1
153.246.23.0/24,1
38.152.169.0/24,1
116.202.243.0/24,1
54.252.62.0/24,1
178.202.21.0/24,1
121.159.147.0/24,1
82.2.190.0/24,1
95.122.86.0/24,1
49.63.225.0/24,1
121.131.44.0/24,1
112.148.197.0/24,1
90.192.63.0/24,1
62.45.213.0/24,1
23.50.240.0/24,1
121.165.62.0/24,1
113.149.82.0/24,1
81.107.45.0/24,1
71.219.4.0/24,1
2.206.195.0/24,1
175.243.33.0/24,1
81.104.3.0/24,1
42.190.192.0/24,1
84.120.247.0/24,1
183.120.247.0/24,1
219.254.97.0/24,1
78.117.190.0/24,1
221.143.72.0/24,1
1.232.150.0/24,1
220.121.62.0/24,1
182.231.170.0/24,1
211.202.41.0/24,1
51.183.155.0/24,1
220.191.115.0/24,1
87.211.209.0/24,1
77.230.10.0/24,1
90.208.152.0/24,1
36.99.38.0/24,1
154.54.219.0/24,1
92.101.107.0/24,1
27.198.158.0/24,1
116.101.185.0/24,1
93.198.147.0/24,1
188.3.249.0/24,1
179.80.128.0/24,1
159.224.15.0/24,1
80.183.59.0/24,1
202.184.145.0/24,1
86.73.109.0/24,1
51.210.154.0/24,1
188.39.34.0/24,1
83.60.38.0/24,1
172.248.29.0/24,1
104.99.88.0/24,1
84.154.96.0/24,1
109.129.126.0/24,1
123.115.233.0/24,1
187.49.75.0/24,1
195.87.208.0/24,1
45.80.69.0/24,1
103.133.50.0/24,1
24.4.205.0/24,1
189.107.77.0/24,1
98.36.157.0/24,1
122.140.99.0/24,1
219.239.21.0/24,1
108.139.45.0/24,1
76.176.162.0/24,1
67.188.184.0/24,1
91.122.125.0/24,1
92.65.21.0/24,1
50.87.178.0/24,1
108.51.156.0/24,1
75.174.179.0/24,1
42.190.238.0/24,1
94.180.149.0/24,1
23.247.214.0/24,1
221.12.84.0/24,1
63.229.208.0/24,1
27.77.55.0/24,1
115.55.171.0/24,1
144.217.69.0/24,1
69.141.201.0/24,1
99.239.163.0/24,1
104.229.82.0/24,1
76.142.198.0/24,1
116.100.30.0/24,1
76.143.142.0/24,1
75.133.164.0/24,1
64.191.169.0/24,1
184.4.66.0/24,1
216.49.16.0/24,1
173.88.26.0/24,1
166.166.167.0/24,1
171.224.40.0/24,1
34.193.119.0/24,1
35.71.132.0/24,1
218.158.31.0/24,1
35.72.195.0/24,1
73.113.91.0/24,1
199.241.214.0/24,1
24.177.204.0/24,1
81.19.4.0/24,1
211.248.129.0/24,1
61.79.155.0/24,1
119.205.161.0/24,1
125.187.35.0/24,1
114.198.164.0/24,1
90.204.180.0/24,1
107.182.21.0/24,1
34.27.148.0/24,1
12.144.25.0/24,1
73.151.191.0/24,1
101.95.92.0/24,1
220.65.77.0/24,1
153.235.165.0/24,1
176.252.177.0/24,1
120.57.5.0/24,1
189.177.46.0/24,1
98.246.136.0/24,1
209.180.172.0/24,1
100.7.50.0/24,1
80.30.190.0/24,1
123.130.18.0/24,1
